Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2019-05-29 20:14:32,false,"Aalen - Innenstadt ","12.12","870","01:17:12","155","170","4.3","161","167","6:22","5:37","64","41","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:05.35","14","0.0"
Laufen,2019-05-26 19:39:56,false,"Aalen - Innenstadt ","8.53","556","00:47:50","160","178","4.1","164","169","5:36","4:59","21","37","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","03:17.41","9","0.0"
Laufen,2019-05-23 20:38:46,false,"Aalen - Innenstadt ","11.14","804","01:05:39","164","179","5.0","163","167","5:54","5:05","30","45","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:51.52","12","0.0"
Laufen,2019-05-15 20:17:38,false,"Aalen Laufen","11.03","761","01:03:35","160","192","4.8","165","169","5:46","4:51","21","53","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:10.60","12","0.0"
Laufen,2019-05-12 15:09:36,false,"Aalen Laufen","9.07","607","00:52:59","155","169","4.0","166","173","5:51","5:18","46","50","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:23.10","10","0.0"
Laufen,2019-05-04 17:01:43,false,"Ipf-Ries Halbmarathon 2019","21.45","1,410","01:49:19","172","183","5.0","169","245","5:06","4:35","64","96","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:15.28","22","0.0"
Laufen,2019-04-29 20:07:16,false,"Aalen Laufen","5.68","358","00:36:03","143","178","2.9","161","178","6:21","4:09","146","134","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:57.80","8","0.0"
Laufen,2019-04-25 18:53:12,false,"Aalen Laufen","11.50","806","01:07:15","161","176","4.7","162","167","5:51","5:07","131","166","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:48.90","12","0.0"
Laufen,2019-04-17 20:05:35,false,"Aalen Laufen","5.77","385","00:35:56","150","178","3.2","162","176","6:14","4:04","150","134","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:55.92","6","0.0"
Laufen,2019-04-12 19:21:14,false,"Aalen Laufen","11.37","795","01:04:19","165","180","4.9","160","243","5:40","4:40","60","75","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:09.55","12","0.0"
Laufen,2019-04-09 20:11:00,false,"Aalen Laufen","5.02","309","00:24:47","164","181","3.5","167","178","4:56","4:18","10","29","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:05.14","6","0.0"
Laufen,2019-04-05 18:50:13,false,"Aalen Laufen","16.02","1,049","01:23:01","168","182","5.0","164","169","5:11","4:37","47","75","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:07.03","17","0.0"
Laufen,2019-04-03 18:29:38,false,"Aalen Laufen","6.28","438","00:36:32","159","179","3.8","162","167","5:49","5:25","61","54","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:38.73","7","0.0"
Laufen,2019-03-28 20:38:52,false,"Aalen Laufen","12.20","792","01:04:36","164","178","5.0","164","191","5:18","4:44","37","50","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:03.57","13","0.0"
Laufen,2019-03-21 19:51:02,false,"Aalen Laufen","14.43","1,046","01:20:33","170","181","5.0","161","245","5:35","4:45","36","48","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:32.26","15","0.0"
Laufen,2019-03-17 07:08:37,false,"Aalen - Laufen","12.03","803","01:04:51","164","182","5.0","164","169","5:24","4:53","34","50","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:09.11","13","0.0"
Laufen,2019-03-10 19:40:26,false,"Aalen - Laufen","11.59","821","01:06:02","163","181","5.0","162","169","5:42","5:10","70","89","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:12.12","12","0.0"
Laufen,2019-02-22 19:27:04,false,"Aalen Laufen","12.12","791","01:02:29","168","183","5.0","165","173","5:09","4:44","36","66","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","04:50.22","13","0.0"
Laufen,2019-02-16 15:05:33,false,"Fachsenfeld - Zuhause ","6.06","418","00:34:16","162","176","3.7","165","169","5:39","4:44","44","53","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:27.76","7","0.0"
